id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
837532614458318051,Rental unit in Montreal · 1 bedroom · 1 bed · 1 bath,195501369,Julio,,Ville-Marie,45.50452855530231,-73.56201734149883,Entire home/apt,76,31,0,,,48,179,0,
837718535278578998,Rental unit in Montréal · ★4.94 · 2 bedrooms · 2 beds · 1 bath,503411131,Ray,,Ahuntsic-Cartierville,45.566171935174665,-73.64476118626098,Entire home/apt,99,2,18,2023-09-21,3.88,9,80,18,"050892, expires: 2024-05-08"
837791531075495197,Condo in Montreal · 2 bedrooms · 2 beds · 2 baths,503258580,GG Vacations,,Le Sud-Ouest,45.4761638293843,-73.59217316773866,Entire home/apt,292,1,2,2023-05-22,0.33,5,321,2,"315216, expires: 2024-09-11"
837904527146738551,Rental unit in Montréal · 2 bedrooms · 3 beds · 1 bath,503258580,GG Vacations,,Le Sud-Ouest,45.47636760812923,-73.59196253313871,Entire home/apt,292,1,1,2023-06-19,0.27,5,319,1,"315216, expires: 2024-09-11"
837920569089011052,Rental unit in Montréal · 2 bedrooms · 3 beds · 1 bath,503258580,GG Vacations,,Le Sud-Ouest,45.47546518878904,-73.59128772492495,Entire home/apt,292,1,2,2023-06-19,0.43,5,351,2,"315216, expires: 2024-09-11"
838283665883667610,Rental unit in Montréal · 1 bedroom · 1 bed · 1.5 baths,8774926,Erika,,Ville-Marie,45.4958117,-73.567656,Entire home/apt,120,31,2,2023-03-31,0.28,1,9,2,
838388668629525396,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,77386147,Réal,,Ville-Marie,45.53263352587409,-73.56099356907447,Entire home/apt,51,31,1,2023-07-01,0.30,1,274,1,
838403190083506080,Rental unit in Montréal · 1 bedroom · 2 beds · 1 bath,503554038,Nadia,,Rosemont-La Petite-Patrie,45.55878,-73.59124,Entire home/apt,65,32,0,,,1,31,0,
838534858546757469,Rental unit in Montreal · 1 bedroom · 1 bed · 1 bath,15815904,Eduardo,,Ahuntsic-Cartierville,45.5619578734701,-73.66247912300302,Entire home/apt,52,31,2,2023-08-24,0.59,7,66,2,
839725026328657492,Rental unit in Montréal · ★4.79 · 3 bedrooms · 3 beds · 3 baths,34931002,Elian,,Ville-Marie,45.49305664182612,-73.57355034710778,Entire home/apt,280,2,19,2023-10-06,2.98,4,54,19,"238420, expires: 2024-03-16T19:08:20Z"
839757094570678261,Townhouse in Montréal · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,6178250,Michael,,Le Sud-Ouest,45.49187873736566,-73.55919561733994,Entire home/apt,800,31,4,2023-09-05,0.94,9,43,4,"294243, expires: 2023-11-30T16:28:02Z"
839990232035401408,Rental unit in Montréal · 1 bedroom · 1 bed · 1 shared bath,84552960,Veronica,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4863407252235,-73.62942826295176,Private room,25,31,1,2023-09-11,1,2,110,1,
840105613892691300,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,70260418,Carolyn,,Le Plateau-Mont-Royal,45.511744380711214,-73.57115780575238,Entire home/apt,77,300,0,,,1,190,0,
840135520594852143,Hotel in Montréal · 6 bedrooms · 6 beds · 2 shared baths,466591044,King,,Le Sud-Ouest,45.46030929209271,-73.59802096230912,Private room,1600,31,1,2023-08-14,0.54,5,360,1,297525
840486444075940453,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,2439063,Damien,,Le Sud-Ouest,45.450916790756146,-73.59300449765496,Entire home/apt,70,31,1,2023-09-30,1,1,244,1,
840524786392821567,Rental unit in Montréal · ★4.91 · 1 bedroom · 2 beds · 1 bath,489085144,Mars,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4652,-73.61498,Entire home/apt,136,1,11,2023-10-02,2.48,17,94,11,"300481, expires: 2023-10-31"
840540410193581694,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,206157337,André,,Mercier-Hochelaga-Maisonneuve,45.573316275548066,-73.53866574587892,Entire home/apt,71,31,0,,,12,342,0,
840614642896415309,Rental unit in Montréal · 1 bedroom · 1 bed · 1 private bath,212687629,Vincent,,Ville-Marie,45.49419212116564,-73.5823435524766,Private room,39,92,0,,,2,289,0,
840626695054718891,Rental unit in Montréal · ★4.86 · 1 bedroom · 1 bed · 1 bath,489085144,Mars,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46565305213943,-73.6150072162282,Entire home/apt,121,1,7,2023-09-04,1.17,17,84,7,"300481, expires: 2024-10-31"
841152203098891632,Rental unit in Montréal · 3 bedrooms · 4 beds · 1 bath,504124197,Maria,,Villeray-Saint-Michel-Parc-Extension,45.5423197,-73.6135572,Entire home/apt,85,32,0,,,1,125,0,
841186528581683114,Rental unit in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 bath,263992065,Danning,,LaSalle,45.4328956673133,-73.63700814653198,Entire home/apt,103,32,6,2023-09-01,0.90,2,89,6,
841199104973538265,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,56824564,Sandie,,Le Plateau-Mont-Royal,45.52328,-73.57858,Entire home/apt,90,32,0,,,4,0,0,
841229087426442901,Rental unit in Montréal · 2 bedrooms · 2 beds · 1.5 baths,485437980,Ashley,,Ville-Marie,45.51807821900385,-73.55857438722516,Entire home/apt,96,60,1,2023-03-19,0.15,4,85,1,
841237892235282547,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,504147898,Tristan,,Le Sud-Ouest,45.4934571726731,-73.56125392674038,Entire home/apt,95,31,0,,,1,364,0,
841239420103467902,Home in Montréal · 1 bedroom · 1 bed · 1 shared bath,492854736,Antoine,,Ahuntsic-Cartierville,45.5503124064066,-73.64041300332057,Private room,35,32,1,2023-04-30,0.19,3,291,1,
841263708705601385,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,501259342,André,,Mercier-Hochelaga-Maisonneuve,45.57255151875641,-73.5381822813564,Entire home/apt,67,31,0,,,4,342,0,
841276370207914396,Home in Montréal · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,492854736,Antoine,,Ahuntsic-Cartierville,45.548843504558604,-73.64039544777756,Private room,38,32,3,2023-08-04,0.43,3,289,3,
841278279031840770,Rental unit in Montréal · ★5.0 · 2 bedrooms · 2 beds · 1 bath,166479857,Aude,,Rosemont-La Petite-Patrie,45.54184456444618,-73.60584386613274,Entire home/apt,90,32,3,2023-09-01,0.51,1,126,3,
841288526719444090,Home in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,492854736,Antoine,,Ahuntsic-Cartierville,45.550688986883216,-73.63949735688189,Private room,40,32,6,2023-06-01,0.87,3,286,6,
841309098990160292,Rental unit in Montréal · ★4.74 · 2 bedrooms · 4 beds · 1.5 baths,408542876,Dave,,Ville-Marie,45.51532,-73.56705,Entire home/apt,269,2,35,2023-10-03,5.02,25,64,35,"512654, expires: 2024-04-25"
841316361792978507,Rental unit in Montréal · ★4.75 · 2 bedrooms · 3 beds · 1.5 baths,408542876,Dave,,Ville-Marie,45.516874476262274,-73.56703319391129,Entire home/apt,208,2,28,2023-10-02,4.00,25,73,28,"512654, expires: 2024-04-25"
841374756821334027,Rental unit in Montréal · ★4.33 · 2 bedrooms · 3 beds · 1.5 baths,491467437,Bakan,,Ville-Marie,45.50444771624508,-73.5622252990641,Entire home/apt,266,2,6,2023-09-17,1.29,19,102,6,"300477, expires: 2023-10-31"
841381322114402426,Rental unit in Montréal · ★4.60 · 1 bedroom · 1 bed · 1 bath,489115411,Jeremy,,Le Plateau-Mont-Royal,45.52087298749893,-73.5910505500198,Entire home/apt,80,31,5,2023-09-05,0.97,3,147,5,295227
841392473463490495,Rental unit in Montréal · ★5.0 · 1 bedroom · 1 bed · 1 private bath,87765297,Sana,,Le Plateau-Mont-Royal,45.531438213361014,-73.57292005523087,Private room,141,1,11,2023-07-01,2.58,3,113,11,"311158, expires: 2023-10-24T04:23:49Z"
